Transaction_Amount,Merchant_Category,Payment_Method,Device_Type,Location,Is_International,Previous_Transactions,Average_Spend,Account_Age_Days,Suspicious_Keyword,Fraudulent
23.96,Health,Credit Card,Mobile,Bengaluru,0,87,301.16,854,0,0
86.9,Entertainment,UPI,POS,Kolkata,0,196,27.44,1620,0,0
29.88,Health,Credit Card,Mobile,Mumbai,0,77,392.19,1047,0,0
58.73,Food,NetBanking,Desktop,Bengaluru,0,125,460.76,1132,0,0
63.3,Fashion,PayPal,POS,Chennai,0,96,481.0,1566,0,0
16.35,Health,Debit Card,Desktop,Hyderabad,0,122,369.49,709,0,0
279.42,Fashion,NetBanking,Desktop,Hyderabad,0,157,429.84,1076,0,0
119.38,Entertainment,Credit Card,POS,Kolkata,0,40,309.25,1281,0,0
224.41,Health,Credit Card,Mobile,Delhi,0,104,234.69,467,0,0
180.17,Food,Credit Card,Desktop,Pune,0,173,359.44,1351,0,0
72.88,Electronics,Credit Card,POS,Hyderabad,0,119,119.85,975,0,0
203.95,Food,Debit Card,Mobile,Mumbai,0,138,63.79,1313,1,0
7.41,Food,UPI,POS,Mumbai,0,173,383.31,805,0,0
17.45,Electronics,PayPal,POS,Mumbai,0,120,479.51,705,0,0
3.7,Electronics,Debit Card,POS,Chennai,0,17,292.96,39,0,0
31.48,Travel,Credit Card,Mobile,Hyderabad,0,102,246.45,1681,0,0
39.37,Health,Debit Card,Desktop,Hyderabad,0,130,271.86,187,0,0
25.32,Entertainment,NetBanking,Desktop,Mumbai,0,145,244.45,897,0,0
141.16,Travel,Credit Card,POS,Kolkata,0,108,226.68,813,0,0
35.3,Electronics,PayPal,POS,Delhi,0,90,474.05,1211,0,0
26.38,Fashion,Credit Card,Mobile,Kolkata,0,119,245.08,349,0,0
62.59,Entertainment,PayPal,POS,Delhi,0,166,49.74,1929,0,0
12.15,Fashion,PayPal,POS,Hyderabad,0,165,385.1,1255,0,0
129.64,Food,UPI,POS,Kolkata,0,63,201.87,150,0,0
6.2,Grocery,UPI,Desktop,Hyderabad,1,5,358.24,168,0,0
346.73,Food,Debit Card,POS,Bengaluru,0,25,293.99,703,0,0
118.36,Food,Debit Card,Desktop,Hyderabad,0,73,359.46,1773,0,0
17.72,Grocery,PayPal,Mobile,Kolkata,0,124,40.38,1620,0,0
0.44,Health,Credit Card,Mobile,Mumbai,0,22,26.6,1392,0,0
135.19,Electronics,NetBanking,Desktop,Pune,0,93,195.49,1313,0,0
98.17,Fashion,NetBanking,Desktop,Chennai,0,191,349.65,1486,0,0
104.45,Food,Credit Card,Desktop,Hyderabad,0,35,119.6,73,0,0
118.02,Grocery,Credit Card,Desktop,Hyderabad,0,55,222.37,1212,0,0
6.15,Travel,UPI,POS,Mumbai,0,128,490.6,845,0,0
35.51,Food,NetBanking,Desktop,Bengaluru,0,20,115.29,1408,0,0
9.85,Fashion,PayPal,Desktop,Pune,0,5,425.49,127,0,0
159.08,Electronics,Debit Card,Desktop,Hyderabad,0,167,414.48,1591,0,0
78.1,Food,UPI,POS,Delhi,0,63,446.76,1924,0,0
32.15,Food,NetBanking,POS,Delhi,0,32,458.42,1763,0,0
5.25,Health,Credit Card,POS,Delhi,0,191,258.59,1662,1,0
29.8,Utilities,NetBanking,Mobile,Chennai,0,74,344.15,268,0,0
31.47,Grocery,PayPal,POS,Chennai,0,168,313.26,504,0,0
104.63,Travel,UPI,Desktop,Pune,0,145,161.38,553,0,0
81.19,Travel,Credit Card,POS,Hyderabad,0,101,147.1,586,1,0
174.58,Entertainment,PayPal,POS,Hyderabad,0,79,177.37,1445,1,1
51.13,Electronics,Debit Card,Desktop,Hyderabad,0,160,117.04,38,0,0
10.19,Entertainment,UPI,POS,Chennai,0,23,381.12,1566,0,0
99.93,Fashion,PayPal,Mobile,Pune,0,188,482.64,1442,1,0
114.43,Electronics,PayPal,POS,Hyderabad,0,56,435.21,1892,0,0
65.91,Food,Credit Card,Mobile,Mumbai,0,137,116.79,1263,0,0
117.91,Utilities,Debit Card,Mobile,Bengaluru,1,106,35.44,1107,0,1
54.47,Food,PayPal,Mobile,Kolkata,1,69,380.98,645,0,1
59.17,Travel,UPI,Desktop,Delhi,0,190,201.2,181,0,0
44.63,Fashion,PayPal,POS,Delhi,0,192,414.06,439,0,0
2.06,Grocery,NetBanking,Mobile,Mumbai,1,22,391.83,39,0,0
9.13,Fashion,UPI,Mobile,Hyderabad,0,32,316.45,986,0,0
2.55,Food,UPI,POS,Pune,0,175,135.12,581,0,0
80.94,Grocery,PayPal,Desktop,Pune,0,2,60.98,585,0,0
30.19,Fashion,Credit Card,Desktop,Chennai,0,123,133.8,909,0,0
56.83,Utilities,UPI,Mobile,Hyderabad,0,85,259.78,297,0,0
190.5,Utilities,NetBanking,Desktop,Pune,0,180,489.94,1043,0,0
22.94,Fashion,Credit Card,POS,Hyderabad,0,14,41.21,1843,0,0
42.26,Grocery,Credit Card,Desktop,Delhi,0,37,108.04,696,0,0
112.7,Food,Credit Card,POS,Kolkata,0,27,317.37,480,0,0
20.78,Fashion,UPI,Mobile,Kolkata,0,152,159.14,623,0,1
6.41,Grocery,Credit Card,POS,Kolkata,0,64,430.67,1250,0,0
27.37,Health,PayPal,Mobile,Delhi,0,70,78.31,427,0,0
14.06,Utilities,Credit Card,POS,Chennai,0,154,481.95,950,0,0
212.4,Health,NetBanking,POS,Kolkata,0,182,457.06,1105,0,0
132.07,Food,Debit Card,Desktop,Delhi,0,15,444.89,1788,0,0
80.28,Grocery,NetBanking,POS,Hyderabad,0,29,94.8,1522,0,0
164.12,Health,UPI,Mobile,Kolkata,0,74,171.45,1421,0,0
130.24,Grocery,Credit Card,POS,Mumbai,0,28,404.01,1427,0,0
16.52,Fashion,Credit Card,Mobile,Chennai,0,59,405.83,1112,0,0
178.47,Food,PayPal,Mobile,Mumbai,0,73,355.54,323,0,0
62.01,Health,Credit Card,POS,Hyderabad,0,149,229.54,817,0,0
131.79,Entertainment,NetBanking,Desktop,Chennai,0,10,162.68,1899,0,0
181.14,Fashion,UPI,POS,Mumbai,0,132,481.85,1841,0,0
30.62,Utilities,Debit Card,POS,Chennai,0,62,78.24,981,0,0
9.33,Entertainment,Credit Card,Desktop,Hyderabad,0,132,31.44,898,0,1
20.69,Entertainment,Debit Card,Mobile,Pune,0,127,14.47,139,0,0
44.56,Electronics,Credit Card,POS,Kolkata,0,6,389.76,1595,0,0
136.31,Electronics,UPI,Desktop,Chennai,0,80,37.79,136,0,0
157.71,Food,NetBanking,Desktop,Kolkata,0,72,273.94,1042,0,0
0.56,Health,UPI,Mobile,Kolkata,0,16,189.97,326,0,0
57.19,Health,Debit Card,Desktop,Pune,0,38,81.98,1905,0,0
43.22,Health,Credit Card,Mobile,Hyderabad,0,177,372.89,868,0,0
20.09,Grocery,Debit Card,POS,Chennai,0,189,36.95,1884,0,0
10.21,Fashion,NetBanking,Desktop,Chennai,0,65,166.01,1148,0,0
32.95,Health,UPI,POS,Pune,0,126,285.47,1850,0,0
229.05,Fashion,Debit Card,Desktop,Delhi,0,83,207.18,1772,0,0
31.23,Food,Debit Card,Desktop,Pune,0,178,136.98,1014,0,0
58.52,Entertainment,NetBanking,POS,Pune,1,17,463.74,874,0,0
97.13,Health,Credit Card,Desktop,Pune,0,113,466.18,1737,0,0
36.16,Food,Debit Card,POS,Hyderabad,1,156,213.89,1525,0,0
285.42,Health,NetBanking,POS,Bengaluru,0,172,202.93,108,1,1
262.56,Electronics,Credit Card,Mobile,Pune,0,140,160.62,1303,0,0
23.2,Travel,Credit Card,POS,Chennai,0,70,429.32,759,0,1
55.01,Food,UPI,Mobile,Mumbai,0,71,288.28,368,0,0
28.63,Health,NetBanking,POS,Delhi,0,131,53.87,86,0,0
26.82,Utilities,Credit Card,Desktop,Pune,0,49,428.13,949,0,0
3.01,Travel,UPI,POS,Pune,1,21,272.09,176,0,0
75.24,Food,PayPal,Desktop,Delhi,0,136,213.64,775,0,0
55.88,Utilities,NetBanking,Mobile,Pune,0,64,175.55,1070,0,0
4.23,Utilities,PayPal,Desktop,Chennai,0,187,58.72,397,0,0
26.13,Grocery,Credit Card,POS,Bengaluru,1,158,478.78,738,0,1
191.11,Utilities,NetBanking,Desktop,Pune,0,32,373.21,1242,0,0
21.91,Health,UPI,Mobile,Delhi,0,20,74.57,1697,0,0
12.52,Grocery,Credit Card,Desktop,Pune,0,16,260.52,277,0,0
53.78,Electronics,NetBanking,Desktop,Hyderabad,0,153,282.23,179,0,0
339.52,Health,NetBanking,POS,Chennai,1,60,92.27,743,0,0
22.17,Entertainment,PayPal,POS,Chennai,0,173,219.34,1266,0,0
89.21,Utilities,Credit Card,Desktop,Bengaluru,0,137,326.42,246,0,0
114.71,Electronics,UPI,Mobile,Hyderabad,0,179,149.17,1059,0,0
21.71,Travel,UPI,Desktop,Hyderabad,0,103,172.49,699,0,0
104.22,Food,Credit Card,Mobile,Bengaluru,0,61,69.79,890,0,0
36.68,Utilities,Credit Card,Mobile,Kolkata,0,168,212.49,1640,0,0
80.04,Fashion,Debit Card,Mobile,Kolkata,0,104,296.09,1448,0,0
80.31,Electronics,PayPal,Desktop,Mumbai,0,61,67.1,1816,1,1
61.39,Fashion,Credit Card,Mobile,Kolkata,0,195,311.24,333,0,0
7.57,Utilities,Credit Card,Desktop,Pune,0,76,204.92,1611,0,0
144.29,Fashion,Debit Card,Mobile,Hyderabad,1,15,342.31,1464,0,0
30.94,Utilities,Debit Card,Mobile,Mumbai,1,181,164.27,432,0,0
16.51,Food,NetBanking,Desktop,Mumbai,0,132,288.56,1907,0,0
3.33,Travel,UPI,POS,Chennai,0,151,310.27,889,0,1
71.5,Food,PayPal,POS,Pune,0,155,348.35,1880,0,0
90.55,Health,NetBanking,Desktop,Chennai,0,103,380.9,409,0,0
1.34,Electronics,Credit Card,Desktop,Delhi,0,165,76.81,481,0,0
57.41,Fashion,Debit Card,POS,Kolkata,0,171,482.97,1282,0,0
20.55,Food,UPI,POS,Chennai,0,165,423.39,723,0,1
82.89,Utilities,NetBanking,POS,Hyderabad,0,157,285.54,1558,0,0
15.33,Food,UPI,Desktop,Hyderabad,0,157,446.28,1648,0,0
93.94,Food,Debit Card,Mobile,Pune,0,177,197.39,174,0,0
39.12,Electronics,NetBanking,Desktop,Mumbai,0,75,26.8,79,0,0
220.83,Travel,NetBanking,POS,Hyderabad,0,179,366.25,1477,0,0
11.84,Entertainment,UPI,Mobile,Kolkata,0,178,472.24,1153,0,0
33.37,Food,Debit Card,Desktop,Chennai,0,28,89.31,372,0,0
9.64,Electronics,Credit Card,POS,Kolkata,0,74,325.5,911,0,0
206.9,Fashion,NetBanking,Desktop,Chennai,0,133,408.58,1785,0,0
167.87,Utilities,Credit Card,Mobile,Pune,0,125,453.48,1704,0,0
23.87,Health,Debit Card,POS,Kolkata,0,56,145.5,919,0,0
86.3,Entertainment,NetBanking,Desktop,Chennai,0,64,73.08,1579,0,0
135.96,Grocery,NetBanking,Mobile,Kolkata,1,127,131.45,1066,0,1
64.81,Entertainment,Credit Card,Mobile,Bengaluru,0,121,293.08,1909,1,0
60.34,Utilities,PayPal,Desktop,Pune,0,89,460.18,791,0,0
22.15,Entertainment,Credit Card,Mobile,Pune,0,17,295.44,877,0,0
7.82,Utilities,Credit Card,POS,Hyderabad,0,97,460.61,953,1,0
182.01,Electronics,PayPal,Mobile,Pune,0,55,387.32,1225,0,0
184.54,Grocery,Debit Card,Desktop,Delhi,0,137,303.21,1542,0,0
80.21,Food,Debit Card,POS,Hyderabad,0,196,20.68,1884,0,0
33.12,Food,NetBanking,Mobile,Hyderabad,0,110,173.21,1412,0,0
34.37,Entertainment,UPI,Mobile,Kolkata,0,16,38.16,1159,0,0
103.56,Electronics,UPI,POS,Bengaluru,0,144,167.9,218,0,0
181.93,Grocery,NetBanking,POS,Hyderabad,0,13,40.54,1582,0,0
174.49,Food,UPI,Mobile,Mumbai,0,78,92.23,1103,1,1
121.08,Fashion,Credit Card,POS,Chennai,1,85,211.24,1302,1,1
82.18,Travel,Credit Card,Desktop,Chennai,0,73,262.29,439,0,0
7.03,Travel,PayPal,Mobile,Pune,0,191,116.4,1444,0,0
14.1,Food,PayPal,Desktop,Kolkata,0,119,368.96,1432,0,0
183.06,Grocery,NetBanking,Mobile,Bengaluru,0,169,299.28,256,0,0
74.6,Health,NetBanking,Desktop,Chennai,0,181,348.96,1644,0,0
0.74,Food,NetBanking,Desktop,Mumbai,0,68,369.06,1837,0,0
8.56,Health,Credit Card,POS,Bengaluru,0,74,366.19,242,0,0
87.13,Health,UPI,Mobile,Delhi,1,99,468.75,1582,0,0
0.41,Utilities,NetBanking,POS,Chennai,0,117,126.24,1034,0,0
14.03,Utilities,NetBanking,POS,Hyderabad,0,137,142.38,1399,0,0
63.66,Grocery,Credit Card,Mobile,Mumbai,0,179,56.16,448,0,0
94.19,Health,Credit Card,Desktop,Kolkata,0,176,300.37,1816,0,0
84.44,Fashion,Credit Card,Mobile,Kolkata,0,177,203.64,1905,0,0
20.32,Grocery,UPI,Mobile,Mumbai,0,146,253.14,1137,0,1
99.63,Food,NetBanking,Mobile,Chennai,0,138,93.21,948,0,0
21.67,Entertainment,Debit Card,POS,Pune,1,115,328.04,1250,0,1
31.49,Fashion,Debit Card,Mobile,Delhi,0,54,313.32,806,0,0
109.79,Electronics,NetBanking,Mobile,Hyderabad,0,79,139.74,1583,0,0
83.9,Travel,NetBanking,Mobile,Delhi,0,15,238.05,250,0,0
151.36,Food,NetBanking,Desktop,Delhi,0,139,448.21,1896,0,0
85.75,Food,NetBanking,Desktop,Chennai,0,168,389.01,1800,0,0
67.2,Food,UPI,Desktop,Hyderabad,0,118,121.2,205,0,0
7.87,Fashion,Debit Card,Desktop,Chennai,0,112,440.64,613,0,0
36.67,Electronics,PayPal,POS,Chennai,0,106,42.98,1656,0,0
24.65,Entertainment,Debit Card,POS,Pune,0,105,212.82,1375,0,0
22.38,Grocery,Debit Card,Mobile,Mumbai,0,47,49.26,564,1,0
288.98,Utilities,Credit Card,POS,Kolkata,0,118,462.86,754,0,0
39.95,Electronics,NetBanking,Desktop,Pune,0,126,29.94,1447,0,0
178.08,Fashion,NetBanking,Mobile,Kolkata,0,148,84.11,1859,0,0
79.79,Food,NetBanking,Mobile,Pune,0,98,458.37,1693,0,0
126.71,Travel,Credit Card,Desktop,Chennai,0,150,295.26,1624,0,0
55.87,Food,UPI,Desktop,Pune,0,48,399.64,353,0,0
68.81,Grocery,UPI,Desktop,Kolkata,1,82,18.04,114,0,1
54.26,Health,PayPal,POS,Pune,0,16,215.36,1049,0,0
17.38,Travel,UPI,Mobile,Bengaluru,0,133,492.39,1794,0,0
102.54,Food,UPI,Desktop,Hyderabad,0,193,294.11,916,0,0
26.37,Entertainment,NetBanking,Mobile,Mumbai,0,74,426.34,1480,0,0
1.97,Travel,Debit Card,Mobile,Kolkata,0,21,482.14,1321,0,0
82.96,Health,UPI,POS,Hyderabad,0,61,345.67,141,0,0
15.59,Utilities,UPI,Mobile,Mumbai,0,183,170.54,657,0,0
225.69,Electronics,Credit Card,Desktop,Bengaluru,0,24,161.22,978,0,0
246.2,Fashion,PayPal,Desktop,Chennai,0,23,44.93,779,0,0
197.08,Utilities,Credit Card,Mobile,Kolkata,0,87,219.61,1451,0,1
36.98,Food,NetBanking,Mobile,Mumbai,0,139,458.54,81,0,0
1.25,Grocery,Debit Card,POS,Mumbai,0,175,244.25,113,0,0
210.84,Electronics,PayPal,Desktop,Mumbai,0,2,456.39,1676,1,0
44.72,Utilities,Credit Card,Desktop,Bengaluru,0,198,410.4,741,0,0
272.07,Food,UPI,Mobile,Hyderabad,0,53,492.25,760,0,0
265.1,Electronics,UPI,Mobile,Bengaluru,0,139,474.37,770,0,0
153.39,Utilities,PayPal,Mobile,Mumbai,0,15,356.18,858,0,0
27.9,Grocery,UPI,Desktop,Pune,0,140,436.9,454,0,0
38.9,Food,Credit Card,Mobile,Mumbai,1,122,376.56,1074,0,0
152.38,Health,Credit Card,POS,Pune,0,123,354.66,1741,0,0
30.49,Health,UPI,POS,Chennai,1,164,360.62,85,0,0
14.86,Grocery,UPI,Mobile,Bengaluru,0,92,363.31,1344,0,0
65.1,Travel,NetBanking,POS,Pune,0,23,195.92,841,1,0
220.1,Grocery,Debit Card,POS,Bengaluru,0,155,217.55,836,0,0
95.27,Travel,PayPal,POS,Delhi,0,88,154.09,1038,0,0
67.53,Food,Credit Card,POS,Hyderabad,0,142,82.65,684,0,0
8.18,Utilities,PayPal,POS,Delhi,0,182,234.64,1036,0,1
76.36,Travel,NetBanking,Desktop,Pune,0,99,450.98,937,0,0
368.85,Food,Credit Card,Mobile,Delhi,0,27,329.12,1426,0,1
12.07,Food,NetBanking,POS,Kolkata,0,21,37.53,1791,0,0
58.44,Entertainment,NetBanking,Mobile,Hyderabad,0,49,407.49,37,0,0
167.89,Fashion,UPI,POS,Pune,0,190,468.35,153,0,1
108.0,Food,PayPal,Desktop,Chennai,0,44,416.42,1811,0,0
95.53,Travel,PayPal,Desktop,Chennai,0,44,366.5,1154,0,0
96.98,Fashion,UPI,POS,Hyderabad,0,128,83.56,1019,0,0
35.64,Fashion,PayPal,POS,Hyderabad,0,189,181.01,864,0,1
27.8,Food,UPI,POS,Pune,0,170,286.99,1915,0,0
132.59,Grocery,Credit Card,Desktop,Bengaluru,0,23,47.66,1146,0,0
132.91,Grocery,NetBanking,Desktop,Kolkata,0,129,62.07,1438,0,0
161.44,Health,NetBanking,Mobile,Pune,0,125,467.78,795,0,0
195.57,Fashion,PayPal,Desktop,Bengaluru,0,36,354.32,1133,0,0
57.29,Food,Debit Card,POS,Bengaluru,0,55,144.79,1351,0,0
55.69,Entertainment,NetBanking,Mobile,Bengaluru,0,110,170.41,60,0,0
128.08,Grocery,UPI,Desktop,Pune,0,16,198.37,407,0,1
83.98,Entertainment,Debit Card,Desktop,Mumbai,0,89,46.78,359,0,0
96.84,Food,Debit Card,POS,Mumbai,0,18,372.2,1979,0,0
127.09,Food,NetBanking,Mobile,Chennai,0,38,96.65,1352,0,0
176.59,Utilities,NetBanking,Desktop,Mumbai,0,195,404.51,311,0,0
33.0,Fashion,NetBanking,Desktop,Mumbai,0,20,424.48,1065,0,0
37.67,Utilities,UPI,POS,Bengaluru,0,19,322.83,668,0,0
7.9,Entertainment,Debit Card,Mobile,Bengaluru,0,13,387.23,901,0,1
69.07,Utilities,PayPal,Mobile,Hyderabad,0,17,94.2,728,0,0
2.93,Health,UPI,Mobile,Bengaluru,0,30,292.21,98,0,0
50.13,Fashion,Credit Card,Mobile,Pune,0,43,341.63,870,0,0
62.58,Electronics,NetBanking,POS,Hyderabad,0,48,334.16,1576,0,0
27.01,Utilities,Debit Card,Desktop,Kolkata,0,43,67.47,1868,0,0
71.49,Entertainment,UPI,Desktop,Hyderabad,0,93,178.75,52,0,0
2.48,Grocery,Credit Card,Mobile,Mumbai,0,114,169.27,366,0,0
3.05,Grocery,UPI,Mobile,Bengaluru,0,66,290.54,456,0,0
138.35,Grocery,UPI,Mobile,Mumbai,0,119,384.97,874,0,0
35.73,Travel,PayPal,Desktop,Bengaluru,0,53,289.59,238,0,0
10.87,Food,PayPal,Desktop,Mumbai,0,72,379.87,244,0,0
59.09,Fashion,UPI,Mobile,Kolkata,0,78,58.49,664,0,0
117.57,Grocery,Credit Card,POS,Mumbai,0,162,440.29,452,1,1
19.45,Electronics,Debit Card,Desktop,Mumbai,0,74,272.94,102,1,0
78.02,Grocery,Debit Card,Desktop,Pune,0,72,28.37,1775,0,0
7.14,Health,NetBanking,Mobile,Kolkata,0,199,325.17,852,0,0
4.25,Food,NetBanking,POS,Chennai,0,13,263.5,815,0,0
60.63,Entertainment,Debit Card,Mobile,Kolkata,1,184,117.98,1659,0,0
62.23,Food,UPI,Mobile,Mumbai,0,59,384.57,967,1,0
81.16,Utilities,UPI,POS,Delhi,0,32,467.45,1801,0,0
103.6,Entertainment,PayPal,POS,Delhi,0,83,168.11,1719,0,0
297.88,Entertainment,PayPal,POS,Delhi,1,120,252.02,1327,0,0
58.1,Utilities,NetBanking,Desktop,Pune,0,54,72.81,1778,0,0
31.2,Fashion,Debit Card,Mobile,Hyderabad,0,2,465.6,1693,0,0
126.85,Utilities,UPI,Desktop,Mumbai,0,118,166.21,1286,0,0
25.27,Travel,Debit Card,POS,Kolkata,0,37,105.44,1094,0,0
46.24,Entertainment,Credit Card,Desktop,Delhi,0,97,244.43,1991,0,0
6.54,Entertainment,Debit Card,POS,Pune,0,103,31.21,318,0,0
2.05,Utilities,Credit Card,POS,Hyderabad,0,114,133.89,584,0,0
262.99,Fashion,PayPal,Mobile,Delhi,0,161,43.15,1323,0,0
144.62,Grocery,PayPal,Mobile,Bengaluru,0,1,72.41,468,0,0
95.25,Health,NetBanking,Mobile,Chennai,0,128,64.96,1367,0,0
42.07,Electronics,Debit Card,Desktop,Mumbai,0,103,437.49,1563,0,0
15.22,Fashion,Debit Card,Mobile,Chennai,1,156,465.91,1447,0,0
13.61,Travel,Credit Card,POS,Chennai,0,145,242.52,57,0,0
23.04,Fashion,PayPal,Mobile,Bengaluru,0,57,318.9,299,0,0
63.74,Food,Credit Card,Desktop,Bengaluru,0,70,350.99,1520,0,0
100.31,Grocery,PayPal,Mobile,Bengaluru,0,180,201.74,1975,0,0
86.35,Grocery,Credit Card,Mobile,Hyderabad,0,44,191.4,103,0,0
26.27,Entertainment,PayPal,Mobile,Delhi,0,175,341.03,1710,0,0
247.85,Grocery,Credit Card,Desktop,Kolkata,0,141,194.59,703,0,0
107.12,Grocery,PayPal,POS,Mumbai,0,76,294.69,275,0,0
64.66,Utilities,Credit Card,POS,Bengaluru,0,158,262.44,1835,0,0
75.68,Grocery,Debit Card,POS,Pune,0,85,266.99,439,1,0
43.52,Grocery,NetBanking,Mobile,Mumbai,0,66,416.39,527,0,0
22.77,Electronics,Credit Card,Mobile,Kolkata,1,53,354.99,1471,0,1
35.2,Travel,NetBanking,Desktop,Mumbai,0,18,480.73,1041,0,0
113.45,Entertainment,Debit Card,POS,Mumbai,0,28,397.58,240,0,0
1.16,Utilities,Debit Card,Mobile,Bengaluru,0,132,81.44,821,0,0
9.87,Grocery,PayPal,Mobile,Bengaluru,0,42,371.86,1276,0,0
3.77,Entertainment,NetBanking,Mobile,Delhi,0,126,336.17,389,0,0
3.33,Travel,UPI,Desktop,Kolkata,0,117,326.56,611,0,0
154.74,Utilities,PayPal,POS,Bengaluru,0,134,245.56,1073,0,0
97.3,Health,NetBanking,Desktop,Bengaluru,0,102,40.61,452,0,0
51.42,Grocery,Credit Card,POS,Mumbai,0,137,476.23,150,1,0
8.24,Entertainment,Credit Card,POS,Delhi,0,148,427.44,202,0,0
54.12,Fashion,Debit Card,Mobile,Chennai,0,38,248.54,63,0,0
51.32,Utilities,UPI,Mobile,Bengaluru,0,196,87.7,947,0,0
15.22,Utilities,Credit Card,Mobile,Pune,0,50,413.99,100,1,1
45.51,Entertainment,NetBanking,Mobile,Bengaluru,1,60,221.03,574,0,1
40.67,Grocery,NetBanking,Mobile,Chennai,0,141,201.16,803,0,0
76.54,Food,Credit Card,POS,Mumbai,0,119,336.04,813,0,0
80.65,Electronics,NetBanking,Mobile,Kolkata,0,99,381.75,997,0,0
3.71,Fashion,NetBanking,Mobile,Delhi,0,94,40.79,1674,0,1
37.55,Fashion,Debit Card,Desktop,Mumbai,0,170,386.1,564,0,1
78.65,Food,UPI,Desktop,Kolkata,0,68,369.63,1711,0,0
55.96,Grocery,Debit Card,POS,Hyderabad,0,153,298.71,43,0,0
155.31,Utilities,UPI,POS,Bengaluru,0,159,175.83,1359,0,0
86.0,Utilities,NetBanking,Desktop,Kolkata,0,140,90.75,1882,0,0
14.23,Electronics,UPI,Desktop,Pune,0,64,60.3,1601,0,0
5.85,Fashion,NetBanking,Mobile,Kolkata,0,79,10.58,300,0,0
82.27,Electronics,NetBanking,Mobile,Hyderabad,0,189,111.17,1826,0,0
2.15,Fashion,Debit Card,POS,Bengaluru,0,53,211.56,1106,0,0
70.51,Grocery,Debit Card,Desktop,Hyderabad,1,26,129.39,1547,0,0
225.38,Health,PayPal,POS,Chennai,0,189,161.4,1613,0,0
